PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
Kevin Durant,24.0,OKC,81,38.504,38:30,0.51,0.905,0.416,28.148,7.901,4.617,1.336,1.432,1.296,221,2.728,0.568,7.333,3.457,1.765,17.691,9.025,9.259,8.383,4.123,1.716,13.568,7.309,0.539,49.284
Kobe Bryant,34.0,LAL,78,38.623,38:37,0.463,0.839,0.324,27.346,5.551,6.013,1.634,1.359,0.321,131,1.679,0.846,4.705,3.679,2.218,20.449,9.462,8.026,6.731,5.218,1.692,15.231,7.769,0.51,44.386
LeBron James,28.0,MIA,76,37.856,37:51,0.565,0.753,0.406,26.789,8.026,7.25,2.438,1.697,0.882,196,2.579,1.276,6.75,2.974,1.447,17.816,10.066,7.039,5.303,3.342,1.355,14.474,8.711,0.602,52.059
James Harden,23.0,HOU,78,38.263,38:15,0.438,0.851,0.368,25.936,4.859,5.833,1.542,1.821,0.487,180,2.308,0.795,4.064,3.782,2.282,17.141,7.5,10.154,8.641,6.231,2.295,10.91,5.205,0.477,43.658
Carmelo Anthony,29.0,NYK,67,37.043,37:02,0.449,0.83,0.379,28.657,6.866,2.552,0.977,0.776,0.478,84,1.254,2.0,4.866,2.612,3.06,22.224,9.985,7.642,6.343,6.179,2.343,16.045,7.642,0.476,41.873
Russell Westbrook,24.0,OKC,82,34.89,34:53,0.438,0.8,0.323,23.207,5.22,7.402,2.223,1.768,0.293,169,2.061,1.354,3.866,3.329,2.305,18.72,8.207,7.012,5.61,3.659,1.183,15.061,7.024,0.466,43.428
Stephen Curry,25.0,GSW,78,38.238,38:14,0.451,0.9,0.453,22.897,4.026,6.91,2.246,1.615,0.154,138,1.769,0.756,3.269,3.077,2.538,17.795,8.026,3.731,3.359,7.692,3.487,10.103,4.538,0.449,40.324
Monta Ellis,27.0,MIL,82,37.517,37:31,0.416,0.773,0.287,19.232,3.854,6.049,1.953,2.061,0.439,205,2.5,0.549,3.305,3.098,2.0,17.512,7.28,4.561,3.524,4.0,1.146,13.512,6.134,0.454,37.332
Damian Lillard,22.0,POR,82,38.62,38:37,0.429,0.844,0.368,19.049,3.134,6.476,2.185,0.902,0.232,93,1.134,0.512,2.622,2.963,2.098,15.707,6.744,3.915,3.305,6.134,2.256,9.573,4.488,0.469,32.962
LaMarcus Aldridge,27.0,POR,74,37.702,37:42,0.484,0.81,0.143,21.081,9.054,2.595,1.343,0.838,1.23,153,2.068,2.365,6.689,1.932,2.527,17.811,8.622,4.703,3.811,0.189,0.027,17.622,8.595,0.488,40.108
DeMar DeRozan,23.0,TOR,82,36.744,36:44,0.445,0.831,0.283,18.11,3.902,2.488,1.351,0.927,0.293,100,1.22,0.585,3.317,1.841,2.11,15.012,6.683,5.207,4.329,1.463,0.415,13.549,6.268,0.463,28.341
Deron Williams,29.0,BKN,78,36.438,36:26,0.44,0.859,0.378,18.923,2.974,7.744,2.771,0.962,0.385,105,1.346,0.372,2.603,2.795,2.487,14.41,6.346,4.731,4.064,5.731,2.167,8.679,4.179,0.482,35.351
Dwyane Wade,31.0,MIA,69,34.646,34:38,0.521,0.725,0.258,21.203,4.986,5.101,1.814,1.855,0.812,184,2.667,1.246,3.739,2.812,2.029,15.841,8.246,6.159,4.464,0.957,0.246,14.884,8.0,0.537,40.026
David Lee,30.0,GSW,79,36.802,36:48,0.519,0.797,0.0,18.468,11.215,3.532,1.348,0.848,0.278,89,1.127,2.759,8.456,2.62,3.114,14.684,7.62,4.051,3.228,0.051,0.0,14.633,7.62,0.521,37.984
Kemba Walker,23.0,CHA,82,34.862,34:51,0.423,0.798,0.322,17.744,3.451,5.744,2.355,1.951,0.378,191,2.329,0.732,2.72,2.439,1.866,15.171,6.415,4.524,3.61,4.049,1.305,11.122,5.11,0.459,35.05
JR Smith,27.0,NYK,80,33.474,33:28,0.422,0.762,0.356,18.075,5.312,2.725,1.627,1.25,0.3,124,1.55,0.8,4.512,1.675,2.825,15.612,6.588,3.888,2.962,5.45,1.938,10.162,4.65,0.458,31.512
Blake Griffin,24.0,LAC,80,32.48,32:28,0.538,0.66,0.179,18.0,8.275,3.738,1.616,1.212,0.625,147,1.838,2.325,5.95,2.312,2.888,13.4,7.212,5.325,3.512,0.35,0.062,13.05,7.15,0.548,36.736
Brook Lopez,25.0,BKN,74,30.451,30:27,0.521,0.758,0.0,19.419,6.919,0.946,0.534,0.446,2.081,187,2.527,2.811,4.108,1.77,2.054,14.784,7.703,5.297,4.014,0.014,0.0,14.77,7.703,0.522,34.951
Paul Pierce,35.0,BOS,77,33.443,33:26,0.436,0.787,0.38,18.571,6.325,4.805,1.729,1.091,0.39,114,1.481,0.584,5.74,2.779,2.727,14.182,6.182,5.494,4.325,4.961,1.883,9.221,4.299,0.466,35.031
Brandon Jennings,23.0,MIL,80,36.211,36:12,0.399,0.819,0.375,17.462,3.075,6.512,2.567,1.562,0.125,135,1.688,0.738,2.338,2.538,1.938,15.588,6.212,3.512,2.875,5.762,2.162,9.825,4.05,0.412,33.446
Al Jefferson,28.0,UTA,78,33.053,33:03,0.494,0.77,0.118,17.833,9.231,2.103,1.562,1.026,1.141,169,2.167,2.0,7.231,1.346,2.179,15.846,7.833,2.782,2.141,0.218,0.026,15.628,7.808,0.5,37.218
Jrue Holiday,23.0,PHI,78,37.507,37:30,0.431,0.752,0.368,17.731,4.218,8.013,2.14,1.577,0.41,155,1.987,1.141,3.077,3.744,2.179,16.513,7.115,3.103,2.333,3.167,1.167,13.346,5.949,0.446,37.029
Paul George,23.0,IND,79,37.619,37:37,0.419,0.807,0.362,17.43,7.633,4.139,1.403,1.81,0.646,194,2.456,1.114,6.519,2.949,2.873,14.886,6.241,3.468,2.797,5.937,2.152,8.949,4.089,0.457,37.216
Rudy Gay,26.0,TOR,75,35.827,35:49,0.416,0.814,0.323,18.213,6.147,2.693,1.02,1.507,0.707,166,2.213,1.32,4.827,2.64,2.427,16.707,6.947,3.933,3.2,3.467,1.12,13.24,5.827,0.44,33.629
Klay Thompson,23.0,GSW,82,35.804,35:48,0.422,0.841,0.401,16.573,3.732,2.232,1.166,1.049,0.549,131,1.598,0.39,3.341,1.915,2.89,14.695,6.195,1.915,1.61,6.415,2.573,8.28,3.622,0.437,27.277
