PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
Russell Westbrook,28.0,OKC,81,34.589,34:35,0.425,0.845,0.343,31.58,10.667,10.37,1.918,1.63,0.383,163,2.012,1.691,8.975,5.407,2.346,23.963,10.173,10.37,8.765,7.198,2.469,16.765,7.704,0.459,60.565
James Harden,27.0,HOU,81,36.379,36:22,0.44,0.847,0.347,29.086,8.136,11.198,1.955,1.494,0.469,159,1.963,1.173,6.963,5.728,2.654,18.926,8.321,10.877,9.21,9.333,3.235,9.593,5.086,0.53,55.806
Isaiah Thomas,28.0,BOS,76,33.809,33:48,0.463,0.909,0.379,28.934,2.684,5.895,2.133,0.921,0.171,83,1.092,0.553,2.132,2.763,2.197,19.382,8.974,8.539,7.763,8.5,3.224,10.882,5.75,0.528,41.511
Anthony Davis,24.0,NOP,75,36.102,36:06,0.505,0.802,0.299,27.987,11.787,2.093,0.867,1.253,2.227,261,3.48,2.293,9.493,2.413,2.24,20.347,10.267,8.627,6.92,1.787,0.533,18.56,9.733,0.524,53.297
Karl-Anthony Towns,21.0,MIN,82,36.955,36:57,0.542,0.832,0.367,25.134,12.28,2.683,1.038,0.683,1.256,159,1.939,3.61,8.671,2.585,2.939,18.049,9.78,5.22,4.341,3.354,1.232,14.695,8.549,0.582,47.127
Damian Lillard,26.0,POR,75,35.908,35:54,0.444,0.895,0.37,26.987,4.907,5.867,2.234,0.907,0.267,88,1.173,0.613,4.293,2.627,2.027,19.84,8.813,7.267,6.507,7.72,2.853,12.12,5.96,0.492,42.568
DeMar DeRozan,27.0,TOR,74,35.409,35:24,0.467,0.842,0.266,27.297,5.216,3.919,1.611,1.054,0.176,91,1.23,0.946,4.27,2.432,1.811,20.878,9.743,8.743,7.365,1.676,0.446,19.203,9.297,0.484,40.692
Stephen Curry,29.0,GSW,79,33.399,33:23,0.468,0.898,0.411,25.304,4.468,6.633,2.192,1.797,0.215,159,2.013,0.772,3.696,3.025,2.316,18.266,8.544,4.582,4.114,9.987,4.101,8.278,4.443,0.537,43.628
LeBron James,32.0,CLE,74,37.765,37:45,0.548,0.674,0.363,26.405,8.635,8.73,2.132,1.243,0.595,136,1.838,1.311,7.324,4.095,1.811,18.162,9.946,7.176,4.838,4.622,1.676,13.541,8.27,0.611,51.281
DeMarcus Cousins,26.0,NOP,72,34.241,34:14,0.452,0.772,0.361,26.972,11.028,4.611,1.234,1.389,1.292,193,2.681,2.111,8.917,3.736,3.861,19.889,8.986,9.306,7.181,5.042,1.819,14.847,7.167,0.483,51.428
