PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
Kevin Durant,21.0,OKC,82,39.504,39:30,0.476,0.9,0.365,30.146,7.598,2.817,0.852,1.366,1.024,196,2.39,1.28,6.317,3.305,2.085,20.341,9.683,10.244,9.22,4.28,1.561,16.061,8.122,0.506,47.355
LeBron James,25.0,CLE,76,39.023,39:01,0.503,0.767,0.333,29.711,7.289,8.566,2.494,1.645,1.013,202,2.658,0.934,6.355,3.434,1.566,20.105,10.105,10.171,7.803,5.092,1.697,15.013,8.408,0.56,55.846
Dwyane Wade,28.0,MIA,77,36.265,36:15,0.476,0.761,0.3,26.558,4.844,6.506,1.988,1.844,1.065,224,2.909,1.39,3.455,3.273,2.351,19.623,9.338,9.117,6.935,3.156,0.948,16.468,8.39,0.509,47.586
Dirk Nowitzki,32.0,DAL,81,37.515,37:30,0.481,0.915,0.421,25.025,7.654,2.691,1.463,0.864,0.975,149,1.84,0.988,6.667,1.84,2.568,18.469,8.889,7.235,6.617,1.494,0.63,16.975,8.259,0.487,41.926
Kobe Bryant,31.0,LAL,73,38.841,38:50,0.456,0.811,0.329,26.986,5.356,5.0,1.567,1.548,0.274,133,1.822,1.068,4.288,3.192,2.562,21.493,9.808,7.411,6.014,4.123,1.356,17.37,8.452,0.487,43.188
Carmelo Anthony,26.0,DEN,69,38.177,38:10,0.458,0.83,0.316,28.159,6.58,3.217,1.062,1.275,0.435,118,1.71,2.203,4.377,3.029,3.261,21.768,9.971,8.87,7.362,2.71,0.855,19.058,9.116,0.478,42.983
Amar'e Stoudemire,27.0,PHX,82,34.604,34:36,0.557,0.771,0.167,23.122,8.927,1.0,0.385,0.634,1.012,135,1.646,2.805,6.122,2.598,3.427,15.415,8.585,7.707,5.939,0.073,0.012,15.341,8.573,0.559,37.676
Zach Randolph,28.0,MEM,81,37.665,37:39,0.488,0.778,0.288,20.753,11.728,1.84,0.856,0.988,0.42,114,1.407,4.074,7.654,2.148,2.79,16.494,8.049,5.741,4.469,0.642,0.185,15.852,7.864,0.496,39.66
Chris Bosh,26.0,TOR,70,36.079,36:04,0.518,0.797,0.364,23.971,10.843,2.371,0.982,0.614,0.971,111,1.586,2.929,7.914,2.414,2.429,16.543,8.571,8.429,6.714,0.314,0.114,16.229,8.457,0.521,42.883
Stephen Jackson,32.0,CHA,81,38.624,38:37,0.423,0.779,0.328,20.58,4.951,3.704,1.158,1.63,0.531,175,2.16,0.963,3.988,3.198,2.432,17.506,7.407,5.358,4.173,4.852,1.593,12.654,5.815,0.46,35.36
