PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
James Harden,26.0,HOU,82,38.105,38:06,0.439,0.86,0.359,28.976,6.11,7.463,1.636,1.695,0.622,190,2.317,0.768,5.341,4.561,2.793,19.72,8.659,10.207,8.78,8.012,2.878,11.707,5.78,0.494,49.893
Stephen Curry,28.0,GSW,79,34.177,34:10,0.504,0.908,0.454,30.063,5.443,6.671,2.011,2.139,0.19,184,2.329,0.861,4.582,3.316,2.038,20.228,10.19,5.063,4.595,11.215,5.089,9.013,5.101,0.566,50.272
Kevin Durant,27.0,OKC,72,35.8,35:48,0.505,0.898,0.387,28.181,8.181,5.014,1.444,0.958,1.181,154,2.139,0.625,7.556,3.472,1.903,19.181,9.694,6.917,6.208,6.681,2.583,12.5,7.111,0.569,48.463
LeBron James,31.0,CLE,76,35.639,35:38,0.52,0.731,0.309,25.263,7.434,6.763,2.064,1.368,0.645,153,2.013,1.461,5.974,3.276,1.882,18.632,9.697,6.461,4.724,3.711,1.145,14.921,8.553,0.573,47.092
Damian Lillard,25.0,POR,75,35.677,35:40,0.419,0.892,0.375,25.053,4.027,6.827,2.116,0.867,0.373,93,1.24,0.6,3.427,3.227,2.2,19.653,8.24,6.187,5.52,8.133,3.053,11.52,5.187,0.45,40.619
Russell Westbrook,27.0,OKC,80,34.368,34:22,0.454,0.812,0.296,23.475,7.825,10.425,2.439,2.038,0.25,183,2.288,1.812,6.012,4.275,2.5,18.05,8.2,7.162,5.812,4.262,1.262,13.788,6.938,0.503,51.09
Paul George,26.0,IND,81,34.802,34:48,0.418,0.86,0.371,23.136,6.951,4.062,1.242,1.877,0.358,181,2.235,0.975,5.975,3.272,2.84,17.889,7.469,6.519,5.605,6.988,2.593,10.901,4.877,0.447,41.001
DeMar DeRozan,26.0,TOR,78,35.946,35:56,0.446,0.85,0.338,23.462,4.474,4.038,1.8,1.038,0.269,102,1.308,0.821,3.654,2.244,2.141,17.654,7.872,8.372,7.115,1.782,0.603,15.872,7.269,0.458,36.568
Isaiah Thomas,27.0,BOS,82,32.249,32:14,0.428,0.871,0.359,22.232,2.963,6.207,2.314,1.11,0.11,100,1.22,0.561,2.402,2.683,2.037,16.854,7.207,6.634,5.78,5.671,2.037,11.183,5.171,0.462,36.074
Klay Thompson,26.0,GSW,80,33.33,33:19,0.47,0.873,0.425,22.138,3.825,2.075,1.203,0.75,0.612,109,1.362,0.438,3.388,1.725,1.9,17.325,8.137,2.762,2.412,8.125,3.45,9.2,4.688,0.51,32.202
DeMarcus Cousins,25.0,SAC,65,34.551,34:33,0.451,0.718,0.333,26.892,11.492,3.292,0.859,1.554,1.415,193,2.969,2.431,9.062,3.831,3.631,20.492,9.246,10.2,7.323,3.231,1.077,17.262,8.169,0.473,50.698
Kemba Walker,26.0,CHA,81,35.619,35:37,0.427,0.847,0.371,20.852,4.407,5.198,2.462,1.556,0.481,165,2.037,0.691,3.716,2.111,1.37,16.432,7.012,5.407,4.58,6.049,2.247,10.383,4.765,0.459,37.937
Andrew Wiggins,21.0,MIN,81,35.118,35:07,0.459,0.761,0.3,20.679,3.593,2.025,0.901,0.963,0.568,124,1.531,1.296,2.296,2.247,2.037,15.975,7.333,6.975,5.309,2.346,0.704,13.63,6.63,0.486,30.373
CJ McCollum,24.0,POR,80,34.747,34:44,0.448,0.827,0.417,20.825,3.238,4.262,1.74,1.212,0.288,120,1.5,0.588,2.65,2.45,2.338,17.888,8.012,2.825,2.338,5.9,2.462,11.988,5.55,0.463,33.154
Kyle Lowry,30.0,TOR,77,37.028,37:01,0.427,0.811,0.388,21.221,4.74,6.416,2.196,2.052,0.442,192,2.494,0.714,4.026,2.922,2.74,15.558,6.649,6.377,5.169,7.104,2.753,8.455,3.896,0.461,41.091
Gordon Hayward,26.0,UTA,80,36.162,36:09,0.433,0.824,0.349,19.725,4.962,3.7,1.465,1.188,0.338,122,1.525,0.762,4.2,2.525,2.288,15.025,6.512,5.962,4.912,5.125,1.788,9.9,4.725,0.477,33.28
Carmelo Anthony,32.0,NYK,72,35.136,35:08,0.434,0.829,0.339,21.847,7.722,4.153,1.699,0.861,0.528,100,1.389,1.361,6.361,2.444,2.5,18.153,7.875,5.597,4.639,4.306,1.458,13.847,6.417,0.463,39.065
John Wall,25.0,WAS,77,36.156,36:09,0.424,0.791,0.351,19.883,4.922,10.247,2.481,1.883,0.766,204,2.649,0.545,4.377,4.13,2.065,17.519,7.429,4.468,3.532,4.26,1.494,13.26,5.935,0.448,44.978
Kawhi Leonard,25.0,SAS,72,33.049,33:02,0.506,0.874,0.443,21.153,6.847,2.583,1.771,1.778,0.986,199,2.764,1.319,5.528,1.458,1.847,15.139,7.653,4.639,4.056,4.042,1.792,11.097,5.861,0.528,40.078
