PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
Shaquille O'Neal,27.0,LAL,49,34.752,34:45,0.576,0.54,0.0,26.306,10.714,2.327,0.934,0.735,1.673,118,2.408,3.816,6.898,2.49,3.163,18.061,10.408,10.163,5.49,0.02,0.0,18.041,10.408,0.577,47.388
Allen Iverson,24.0,PHI,48,41.483,41:28,0.412,0.751,0.291,26.75,4.917,4.646,1.335,2.292,0.146,117,2.438,1.375,3.542,3.479,2.042,22.0,9.062,9.875,7.417,4.146,1.208,17.854,7.854,0.44,43.452
Karl Malone,35.0,UTA,49,37.38,37:22,0.493,0.788,0.0,23.755,9.449,4.102,1.241,1.265,0.571,90,1.837,2.184,7.265,3.306,2.735,16.265,8.02,9.796,7.714,0.02,0.0,16.245,8.02,0.494,43.451
Shareef Abdur-Rahim,22.0,VAN,50,40.396,40:23,0.432,0.841,0.306,23.04,7.48,3.44,0.925,1.38,1.1,124,2.48,2.28,5.2,3.72,2.74,17.86,7.72,8.78,7.38,0.72,0.22,17.14,7.5,0.438,40.896
Tim Duncan,23.0,SAS,50,39.266,39:15,0.495,0.69,0.143,21.68,11.42,2.42,0.829,0.9,2.52,171,3.42,3.18,8.24,2.92,2.94,16.9,8.36,7.16,4.94,0.14,0.02,16.76,8.34,0.498,46.354
Gary Payton,30.0,SEA,50,40.196,40:11,0.434,0.721,0.295,21.68,4.88,8.72,2.831,2.18,0.24,121,2.42,1.24,3.64,3.08,2.3,18.46,8.02,5.52,3.98,5.62,1.66,12.84,6.36,0.495,44.796
Antonio McDyess,24.0,DEN,50,38.748,38:44,0.471,0.68,0.111,21.22,10.74,1.64,0.594,1.46,2.3,188,3.76,3.36,7.38,2.76,3.5,17.64,8.3,6.76,4.6,0.18,0.02,17.46,8.28,0.474,45.088
Grant Hill,26.0,DET,50,36.992,36:59,0.479,0.752,0.0,21.06,7.1,6.0,1.63,1.6,0.54,107,2.14,1.3,5.8,3.68,2.28,16.04,7.68,7.58,5.7,0.28,0.0,15.76,7.68,0.487,41.32
Stephon Marbury,22.0,NJN,49,38.649,38:38,0.428,0.799,0.335,21.306,2.898,8.918,2.665,1.204,0.163,67,1.367,0.755,2.143,3.347,2.551,18.02,7.714,5.673,4.531,4.02,1.347,14.0,6.367,0.455,38.916
Michael Finley,26.0,DAL,50,41.105,41:06,0.444,0.823,0.331,20.18,5.26,4.36,2.037,1.32,0.3,81,1.62,1.38,3.88,2.14,1.92,17.52,7.78,4.52,3.72,2.72,0.9,14.8,6.88,0.465,35.752
Kobe Bryant,20.0,LAL,50,37.885,37:53,0.465,0.839,0.267,19.92,5.28,3.8,1.21,1.44,1.0,122,2.44,1.06,4.22,3.14,3.06,15.58,7.24,5.84,4.9,2.02,0.54,13.56,6.7,0.494,36.136
Mitch Richmond,33.0,WAS,50,38.247,38:14,0.412,0.857,0.317,19.66,3.44,2.44,0.897,1.28,0.2,74,1.48,0.6,2.84,2.72,2.42,16.06,6.62,5.86,5.02,4.42,1.4,11.64,5.22,0.448,29.168
Kevin Garnett,23.0,MIN,47,37.851,37:51,0.46,0.704,0.286,20.787,10.404,4.298,1.496,1.66,1.766,161,3.426,3.532,6.872,2.872,3.234,19.149,8.809,4.383,3.085,0.298,0.085,18.851,8.723,0.463,47.123
Hakeem Olajuwon,36.0,HOU,50,35.689,35:41,0.514,0.717,0.308,18.9,9.56,1.76,0.633,1.64,2.46,205,4.1,2.12,7.44,2.78,3.2,14.5,7.46,5.44,3.9,0.26,0.08,14.24,7.38,0.518,42.532
Alonzo Mourning,29.0,MIA,46,38.161,38:09,0.512,0.652,0.0,20.087,11.022,1.609,0.532,0.739,3.913,214,4.652,3.609,7.413,3.022,3.5,13.761,7.043,9.196,6.0,0.043,0.0,13.717,7.043,0.513,46.661
Reggie Miller,33.0,IND,50,35.763,35:45,0.438,0.915,0.385,18.4,2.7,2.24,1.474,0.74,0.18,46,0.92,0.5,2.2,1.52,2.02,13.42,5.88,4.94,4.52,5.5,2.12,7.92,3.76,0.475,26.24
Keith Van Horn,23.0,NJN,42,37.502,37:30,0.428,0.859,0.302,21.81,8.524,1.548,0.489,1.024,1.262,96,2.286,2.714,5.81,3.167,3.19,17.905,7.667,7.095,6.095,1.262,0.381,16.643,7.286,0.438,38.05
Vince Carter,22.0,TOR,50,35.219,35:13,0.45,0.761,0.288,18.26,5.66,2.98,1.355,1.1,1.54,132,2.64,1.88,3.78,2.2,2.78,15.32,6.9,5.36,4.08,1.32,0.38,14.0,6.52,0.466,35.242
Glenn Robinson,26.0,MIL,47,33.549,33:32,0.459,0.87,0.392,18.404,5.872,2.128,0.943,0.979,0.872,87,1.851,1.553,4.319,2.255,2.426,16.085,7.383,3.426,2.979,1.681,0.66,14.404,6.723,0.467,31.94
Shawn Kemp,29.0,CLE,42,35.028,35:01,0.482,0.789,0.5,20.524,9.238,2.405,0.795,1.143,1.071,93,2.214,3.119,6.119,3.024,3.786,13.69,6.595,9.262,7.31,0.048,0.024,13.643,6.571,0.482,38.836
Ray Allen,23.0,MIL,50,34.376,34:22,0.45,0.903,0.356,17.12,4.24,3.56,1.459,1.06,0.14,60,1.2,1.14,3.1,2.44,2.34,13.46,6.06,3.9,3.52,4.16,1.48,9.3,4.58,0.492,28.708
