PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
James Harden,25.0,HOU,81,36.801,36:48,0.44,0.868,0.375,27.37,5.667,6.975,1.76,1.901,0.741,214,2.642,0.926,4.741,3.963,2.568,18.148,7.988,10.173,8.827,6.852,2.568,11.296,5.42,0.48,48.596
Stephen Curry,27.0,GSW,80,32.665,32:39,0.487,0.914,0.443,23.75,4.262,7.738,2.486,2.038,0.2,179,2.238,0.7,3.562,3.112,1.975,16.762,8.162,4.212,3.85,8.075,3.575,8.688,4.588,0.528,44.071
Russell Westbrook,26.0,OKC,67,34.356,34:21,0.426,0.835,0.299,28.149,7.284,8.567,1.959,2.09,0.209,154,2.299,1.851,5.433,4.373,2.746,21.955,9.358,9.761,8.149,4.299,1.284,17.657,8.075,0.457,52.263
LeBron James,30.0,CLE,69,36.137,36:08,0.488,0.71,0.354,25.261,6.029,7.406,1.879,1.58,0.71,158,2.29,0.739,5.29,3.942,1.957,18.536,9.043,7.652,5.435,4.913,1.739,13.623,7.304,0.536,46.532
Damian Lillard,24.0,POR,82,35.665,35:39,0.434,0.864,0.343,20.976,4.61,6.183,2.284,1.183,0.256,118,1.439,0.598,4.012,2.707,2.0,16.585,7.195,4.854,4.195,6.976,2.39,9.61,4.805,0.5,37.391
Klay Thompson,25.0,GSW,77,31.878,31:52,0.463,0.879,0.439,21.662,3.208,2.883,1.49,1.13,0.779,147,1.909,0.351,2.857,1.935,1.584,16.87,7.818,3.325,2.922,7.078,3.104,9.792,4.714,0.481,33.629
LaMarcus Aldridge,29.0,POR,71,35.374,35:22,0.466,0.845,0.352,23.394,10.225,1.746,1.016,0.676,0.958,116,1.634,2.493,7.732,1.718,1.761,19.93,9.282,5.099,4.31,1.479,0.521,18.451,8.761,0.475,41.468
Anthony Davis,22.0,NOP,68,36.098,36:05,0.535,0.805,0.083,24.353,10.235,2.191,1.568,1.471,2.941,300,4.412,2.544,7.691,1.397,2.074,17.632,9.441,6.779,5.456,0.176,0.015,17.456,9.426,0.54,51.76
Kyrie Irving,23.0,CLE,75,36.398,36:23,0.468,0.863,0.415,21.707,3.16,5.187,2.091,1.52,0.267,134,1.787,0.733,2.427,2.48,1.947,16.467,7.707,4.867,4.2,5.04,2.093,11.427,5.613,0.491,36.159
Chris Paul,30.0,LAC,82,34.844,34:50,0.485,0.9,0.398,19.073,4.585,10.22,4.411,1.902,0.183,171,2.085,0.634,3.951,2.317,2.476,14.268,6.927,3.915,3.524,4.256,1.695,10.012,5.232,0.523,43.844
Monta Ellis,29.0,DAL,80,33.741,33:44,0.445,0.752,0.285,18.912,2.375,4.112,1.662,1.85,0.312,173,2.162,0.425,1.95,2.475,2.462,16.925,7.525,3.788,2.85,3.55,1.012,13.375,6.512,0.487,31.944
Blake Griffin,26.0,LAC,67,35.161,35:09,0.502,0.728,0.4,21.925,7.582,5.284,2.329,0.94,0.522,98,1.463,1.881,5.701,2.269,2.925,17.075,8.567,6.373,4.642,0.373,0.149,16.701,8.418,0.504,41.069
Gordon Hayward,25.0,UTA,76,34.441,34:26,0.445,0.812,0.364,19.25,4.908,4.118,1.519,1.421,0.395,138,1.816,0.711,4.197,2.711,1.724,14.303,6.368,6.079,4.934,4.342,1.579,9.961,4.789,0.481,34.054
Pau Gasol,34.0,CHI,78,34.369,34:22,0.494,0.803,0.462,18.538,11.782,2.692,1.329,0.321,1.885,172,2.205,2.821,8.962,2.026,1.885,14.782,7.308,4.692,3.769,0.333,0.154,14.449,7.154,0.495,41.305
Rudy Gay,28.0,SAC,68,35.415,35:24,0.455,0.858,0.359,21.059,5.868,3.676,1.366,1.044,0.603,112,1.647,1.441,4.426,2.691,2.309,16.412,7.471,5.779,4.956,3.235,1.162,13.176,6.309,0.479,35.865
Nikola Vučević,24.0,ORL,74,34.171,34:10,0.523,0.752,0.333,19.297,10.946,1.986,0.993,0.73,0.73,108,1.459,3.216,7.73,2.0,2.973,16.297,8.527,2.946,2.216,0.081,0.027,16.216,8.5,0.524,37.791
DeMarcus Cousins,24.0,SAC,59,34.122,34:07,0.467,0.782,0.25,24.085,12.661,3.559,0.827,1.525,1.746,193,3.271,3.136,9.525,4.305,4.085,18.068,8.441,9.169,7.169,0.136,0.034,17.932,8.407,0.469,50.125
Marc Gasol,30.0,MEM,81,33.173,33:10,0.494,0.795,0.176,17.444,7.778,3.79,1.744,0.864,1.617,201,2.481,1.42,6.358,2.173,2.568,13.235,6.543,5.432,4.321,0.21,0.037,13.025,6.506,0.5,37.735
John Wall,24.0,WAS,79,35.905,35:54,0.445,0.785,0.3,17.557,4.633,10.025,2.605,1.747,0.57,183,2.316,0.456,4.177,3.848,2.278,14.759,6.57,4.582,3.595,2.747,0.823,12.013,5.747,0.478,41.256
Andrew Wiggins,20.0,MIN,82,36.205,36:12,0.437,0.76,0.31,16.915,4.561,2.073,0.96,1.049,0.61,136,1.659,1.634,2.927,2.159,2.317,13.866,6.061,5.683,4.317,1.537,0.476,12.329,5.585,0.453,28.315
Eric Bledsoe,25.0,PHX,81,34.563,34:33,0.447,0.8,0.324,17.0,5.222,6.086,1.799,1.568,0.556,172,2.123,0.889,4.333,3.383,2.333,12.914,5.778,5.444,4.358,3.358,1.086,9.556,4.691,0.491,35.384
Dirk Nowitzki,37.0,DAL,77,29.631,29:37,0.459,0.882,0.38,17.312,5.935,1.857,1.744,0.506,0.429,72,0.935,0.571,5.364,1.065,2.078,13.792,6.325,3.753,3.312,3.558,1.351,10.234,4.974,0.486,28.96
Dwyane Wade,33.0,MIA,62,31.788,31:47,0.47,0.768,0.284,21.468,3.532,4.823,1.431,1.177,0.339,94,1.516,0.935,2.597,3.371,1.694,17.484,8.21,5.968,4.581,1.645,0.468,15.839,7.742,0.489,34.118
Tyreke Evans,25.0,NOP,79,34.048,34:02,0.447,0.694,0.304,16.62,5.266,6.595,2.118,1.266,0.468,137,1.734,1.038,4.228,3.114,2.506,14.747,6.595,3.684,2.557,2.873,0.873,11.873,5.722,0.482,34.92
Jimmy Butler III,25.0,CHI,65,38.669,38:40,0.462,0.834,0.378,20.015,5.831,3.262,2.28,1.754,0.554,150,2.308,1.754,4.077,1.431,1.662,14.031,6.477,7.123,5.938,2.969,1.123,11.062,5.354,0.484,37.397
Victor Oladipo,23.0,ORL,72,35.733,35:43,0.436,0.819,0.339,17.944,4.194,4.097,1.446,1.667,0.264,139,1.931,0.708,3.486,2.833,2.597,15.083,6.569,4.444,3.639,3.444,1.167,11.639,5.403,0.464,32.082
JJ Redick,31.0,LAC,78,30.886,30:53,0.477,0.901,0.437,16.372,2.141,1.756,1.442,0.5,0.103,47,0.603,0.282,1.859,1.218,1.718,12.026,5.731,2.603,2.346,5.872,2.564,6.154,3.167,0.515,22.165
Goran Dragic,29.0,MIA,78,33.846,33:50,0.501,0.774,0.347,16.346,3.513,4.487,2.023,1.0,0.192,93,1.192,1.038,2.474,2.218,2.5,12.846,6.436,3.0,2.321,3.321,1.154,9.526,5.282,0.555,28.651
Markieff Morris,25.0,PHX,82,31.472,31:28,0.465,0.763,0.318,15.341,6.171,2.341,1.129,1.232,0.476,140,1.707,1.341,4.829,2.073,2.988,13.415,6.244,2.829,2.159,2.183,0.695,11.232,5.549,0.494,29.307
Kyle Lowry,29.0,TOR,70,34.491,34:29,0.412,0.808,0.338,17.771,4.686,6.757,2.734,1.557,0.186,122,1.743,0.771,3.914,2.471,3.029,14.9,6.143,4.457,3.6,5.586,1.886,9.314,4.257,0.457,36.287
Lou Williams,28.0,TOR,80,25.194,25:11,0.404,0.861,0.34,15.525,1.888,2.05,1.624,1.1,0.125,98,1.225,0.3,1.588,1.262,1.288,11.6,4.688,4.938,4.25,5.588,1.9,6.012,2.788,0.464,23.278
Brook Lopez,27.0,BKN,72,29.17,29:10,0.513,0.814,0.1,17.167,7.431,0.694,0.481,0.597,1.75,169,2.347,2.972,4.458,1.444,2.861,13.708,7.028,3.806,3.097,0.139,0.014,13.569,7.014,0.517,32.722
Kevin Love,26.0,CLE,75,33.757,33:45,0.434,0.804,0.367,16.373,9.747,2.24,1.377,0.68,0.52,90,1.2,1.893,7.853,1.627,1.867,12.693,5.507,4.28,3.44,5.227,1.92,7.467,3.587,0.48,33.403
Paul Millsap,30.0,ATL,73,32.733,32:43,0.476,0.757,0.356,16.685,7.808,3.055,1.343,1.781,0.945,199,2.726,1.904,5.904,2.274,2.753,12.74,6.068,4.616,3.493,2.959,1.055,9.781,5.014,0.513,36.541
DeMar DeRozan,25.0,TOR,60,35.005,35:00,0.413,0.832,0.284,20.067,4.617,3.5,1.533,1.217,0.183,84,1.4,0.683,3.933,2.283,2.033,16.5,6.817,7.233,6.017,1.467,0.417,15.033,6.4,0.426,32.773
Derrick Favors,23.0,UTA,74,30.806,30:48,0.525,0.669,0.167,16.041,8.203,1.514,0.926,0.811,1.662,183,2.473,2.649,5.554,1.635,2.838,12.405,6.514,4.486,3.0,0.081,0.014,12.324,6.5,0.527,33.938
Jeff Green,28.0,MEM,78,31.471,31:28,0.43,0.833,0.332,14.974,4.205,1.718,1.241,0.679,0.436,87,1.115,0.821,3.385,1.385,1.885,12.397,5.333,3.679,3.064,3.744,1.244,8.654,4.09,0.473,24.559
