PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
LeBron James,33.0,CLE,82,36.897,36:53,0.542,0.731,0.367,27.451,8.646,9.11,2.153,1.415,0.866,187,2.28,1.183,7.463,4.232,1.659,19.268,10.451,6.476,4.732,4.951,1.817,14.317,8.634,0.603,54.101
James Harden,28.0,HOU,72,35.428,35:25,0.449,0.858,0.367,30.431,5.403,8.75,2.0,1.75,0.694,176,2.444,0.569,4.833,4.375,2.347,20.125,9.042,10.097,8.667,10.028,3.681,10.097,5.361,0.531,52.997
Anthony Davis,25.0,NOP,75,36.363,36:21,0.534,0.828,0.34,28.133,11.08,2.32,1.074,1.533,2.573,308,4.107,2.493,8.587,2.16,2.12,19.493,10.4,7.973,6.6,2.16,0.733,17.333,9.667,0.558,55.069
Russell Westbrook,29.0,OKC,80,36.421,36:25,0.449,0.737,0.298,25.35,10.05,10.25,2.152,1.838,0.25,167,2.088,1.9,8.15,4.762,2.5,21.088,9.462,7.075,5.212,4.075,1.212,17.012,8.25,0.485,54.285
Giannis Antetokounmpo,23.0,MIL,75,36.749,36:44,0.529,0.76,0.307,26.853,10.04,4.813,1.619,1.453,1.413,215,2.867,2.08,7.96,2.973,3.08,18.693,9.893,8.547,6.493,1.867,0.573,16.827,9.32,0.554,51.748
Damian Lillard,27.0,POR,73,36.574,36:34,0.439,0.916,0.361,26.877,4.452,6.589,2.335,1.055,0.37,104,1.425,0.849,3.603,2.822,1.603,19.384,8.507,7.37,6.753,8.616,3.11,10.767,5.397,0.501,43.555
Bradley Beal,25.0,WAS,82,36.301,36:18,0.46,0.791,0.375,22.646,4.427,4.549,1.743,1.171,0.439,132,1.61,0.744,3.683,2.61,1.951,18.098,8.329,4.5,3.561,6.463,2.427,11.634,5.902,0.507,37.001
DeMar DeRozan,28.0,TOR,80,33.897,33:53,0.456,0.825,0.31,23.0,3.938,5.212,2.383,1.062,0.275,107,1.338,0.738,3.2,2.188,1.888,17.662,8.062,6.988,5.762,3.588,1.112,14.075,6.95,0.494,37.369
Kevin Durant,29.0,GSW,68,34.193,34:11,0.516,0.889,0.419,26.353,6.824,5.382,1.768,0.735,1.75,169,2.485,0.456,6.368,3.044,1.956,17.971,9.265,5.941,5.279,6.074,2.544,11.897,6.721,0.565,47.026
Lou Williams,31.0,LAC,79,32.773,32:46,0.435,0.88,0.359,22.557,2.506,5.278,1.782,1.076,0.241,104,1.316,0.506,2.0,2.962,1.342,16.924,7.367,6.215,5.468,6.557,2.354,10.367,5.013,0.484,34.47
