PLAYER_NAME,AGE,TEAM_ABBREVIATION,GP,MPG,clock,FG%,FT%,3P%,PPG,RPG,APG,AST_TO,SPG,BPG,STOCKS,STOCKS_PG,OREB_PG,DREB_PG,TOV_PG,PF_PG,FGA_PG,FGM_PG,FTA_PG,FTM_PG,3PA_PG,3PM_PG,2PA_PG,2PM_PG,2P%,NBA_FANTASY_PTS_PG
James Harden,30.0,HOU,68,36.508,36:30,0.444,0.865,0.355,34.338,6.559,7.529,1.662,1.838,0.882,185,2.721,1.029,5.529,4.529,3.338,22.265,9.882,11.765,10.176,12.397,4.397,9.868,5.485,0.556,57.135
Damian Lillard,29.0,POR,66,37.48,37:28,0.463,0.888,0.401,29.97,4.303,8.03,2.732,1.061,0.333,92,1.394,0.5,3.803,2.939,1.727,20.439,9.455,7.848,6.97,10.212,4.091,10.227,5.364,0.524,48.421
Devin Booker,23.0,PHX,70,35.881,35:52,0.489,0.919,0.354,26.614,4.243,6.514,1.727,0.7,0.257,67,0.957,0.414,3.829,3.771,3.043,18.329,8.957,7.271,6.686,5.686,2.014,12.643,6.943,0.549,40.577
Giannis Antetokounmpo,25.0,MIL,63,30.427,30:25,0.553,0.633,0.304,29.476,13.587,5.619,1.539,0.968,1.048,127,2.016,2.222,11.365,3.651,3.095,19.651,10.873,9.984,6.317,4.651,1.413,15.0,9.46,0.631,56.606
Trae Young,21.0,ATL,60,35.337,35:20,0.437,0.86,0.361,29.633,4.25,9.333,1.938,1.083,0.133,73,1.217,0.533,3.717,4.817,1.733,20.817,9.1,9.317,8.017,9.467,3.417,11.35,5.683,0.501,47.567
Luka Dončić,21.0,DAL,61,33.561,33:33,0.463,0.758,0.316,28.836,9.393,8.82,2.069,1.016,0.23,76,1.246,1.279,8.115,4.262,2.508,20.574,9.525,9.213,6.984,8.869,2.803,11.705,6.721,0.574,52.813
Bradley Beal,27.0,WAS,57,36.019,36:01,0.455,0.842,0.353,30.544,4.246,6.088,1.789,1.246,0.404,94,1.649,0.912,3.333,3.404,2.211,22.86,10.404,8.018,6.754,8.439,2.982,14.421,7.421,0.515,46.314
LeBron James,35.0,LAL,67,34.571,34:34,0.493,0.693,0.348,25.343,7.836,10.209,2.621,1.164,0.537,114,1.701,0.985,6.851,3.896,1.761,19.448,9.597,5.687,3.94,6.343,2.209,13.104,7.388,0.564,51.269
Donovan Mitchell,23.0,UTA,69,34.26,34:15,0.449,0.863,0.366,23.986,4.406,4.261,1.598,1.014,0.203,84,1.217,0.768,3.638,2.667,2.493,19.449,8.725,4.667,4.029,6.855,2.507,12.594,6.217,0.494,36.649
Anthony Davis,27.0,LAL,62,34.374,34:22,0.503,0.846,0.33,26.097,9.306,3.226,1.299,1.468,2.306,234,3.774,2.29,7.016,2.484,2.516,17.677,8.887,8.468,7.161,3.516,1.161,14.161,7.726,0.546,50.942
CJ McCollum,28.0,POR,70,36.523,36:31,0.451,0.757,0.379,22.229,4.243,4.429,2.441,0.771,0.6,96,1.371,0.657,3.586,1.814,2.614,19.371,8.729,2.643,2.0,7.314,2.771,12.057,5.957,0.494,36.263
Russell Westbrook,31.0,HOU,57,35.95,35:57,0.472,0.763,0.258,27.246,7.912,7.035,1.573,1.632,0.351,113,1.982,1.754,6.158,4.474,3.509,22.474,10.596,6.667,5.088,3.737,0.965,18.737,9.632,0.514,48.767
Jayson Tatum,22.0,BOS,66,34.319,34:19,0.45,0.812,0.403,23.439,6.97,3.03,1.29,1.409,0.864,150,2.273,0.97,6.0,2.348,2.061,18.576,8.364,4.742,3.848,7.106,2.864,11.47,5.5,0.48,40.818
Kawhi Leonard,29.0,LAC,57,32.423,32:25,0.47,0.886,0.378,27.07,7.053,4.912,1.879,1.807,0.579,136,2.386,0.947,6.105,2.614,1.982,19.877,9.333,7.053,6.246,5.702,2.158,14.175,7.175,0.506,47.446
Zach LaVine,25.0,CHI,60,34.757,34:45,0.45,0.802,0.38,25.5,4.817,4.233,1.233,1.467,0.467,116,1.933,0.683,4.133,3.433,2.183,19.983,8.983,5.567,4.467,8.067,3.067,11.917,5.917,0.497,39.997
DeMar DeRozan,30.0,SAS,68,34.063,34:03,0.531,0.845,0.257,22.118,5.515,5.588,2.317,1.029,0.294,90,1.324,0.647,4.868,2.412,2.647,15.426,8.191,6.632,5.603,0.515,0.132,14.912,8.059,0.54,38.676
Brandon Ingram,22.0,NOP,62,33.926,33:55,0.463,0.851,0.391,23.823,6.129,4.177,1.37,0.984,0.613,99,1.597,0.823,5.306,3.048,2.887,17.677,8.177,5.935,5.048,6.194,2.419,11.484,5.758,0.501,39.185
Nikola Jokić,25.0,DEN,73,31.992,31:59,0.528,0.817,0.314,19.945,9.74,7.014,2.265,1.164,0.603,129,1.767,2.274,7.466,3.096,3.041,14.671,7.74,4.123,3.37,3.493,1.096,11.178,6.644,0.594,44.359
Tobias Harris,27.0,PHI,72,34.294,34:17,0.471,0.806,0.367,19.597,6.875,3.153,2.183,0.736,0.556,93,1.292,0.958,5.917,1.444,2.292,16.292,7.681,3.0,2.417,4.958,1.819,11.333,5.861,0.517,35.007
Buddy Hield,27.0,SAC,72,30.779,30:46,0.429,0.846,0.394,19.194,4.556,2.958,1.268,0.917,0.236,83,1.153,0.792,3.764,2.333,2.292,16.139,6.917,1.889,1.597,9.556,3.764,6.583,3.153,0.479,30.224
Pascal Siakam,26.0,TOR,60,35.169,35:10,0.453,0.792,0.359,22.85,7.317,3.45,1.399,1.017,0.883,114,1.9,1.067,6.25,2.467,2.833,18.4,8.333,5.05,4.0,6.083,2.183,12.317,6.15,0.499,40.038
Collin Sexton,21.0,CLE,65,32.963,32:57,0.472,0.846,0.38,20.754,3.138,2.954,1.215,1.0,0.108,72,1.108,0.938,2.2,2.431,2.185,16.708,7.892,4.108,3.477,3.923,1.492,12.785,6.4,0.501,29.843
Shai Gilgeous-Alexander,21.0,OKC,70,34.69,34:41,0.471,0.807,0.347,19.014,5.886,3.314,1.731,1.129,0.671,126,1.8,0.671,5.214,1.914,1.671,14.5,6.829,5.1,4.114,3.586,1.243,10.914,5.586,0.512,34.534
T.J. Warren,26.0,IND,67,32.871,32:52,0.536,0.819,0.403,19.791,4.179,1.478,1.179,1.164,0.507,112,1.672,1.015,3.164,1.254,2.791,14.881,7.97,3.045,2.493,3.373,1.358,11.507,6.612,0.575,30.784
Spencer Dinwiddie,27.0,BKN,64,31.159,31:09,0.415,0.778,0.308,20.594,3.453,6.75,2.483,0.625,0.328,61,0.953,0.5,2.953,2.719,2.812,15.953,6.625,6.969,5.422,6.25,1.922,9.703,4.703,0.485,35.003
Khris Middleton,28.0,MIL,62,29.882,29:52,0.497,0.916,0.415,20.919,6.161,4.274,1.934,0.855,0.113,60,0.968,0.71,5.452,2.21,2.29,15.274,7.597,3.661,3.355,5.71,2.371,9.565,5.226,0.546,35.418
Bojan Bogdanović,31.0,UTA,63,33.06,33:03,0.447,0.903,0.414,20.238,4.111,2.079,0.824,0.54,0.111,41,0.651,0.619,3.492,2.524,1.746,14.841,6.635,4.397,3.968,7.254,3.0,7.587,3.635,0.479,27.719
Julius Randle,25.0,NYK,64,32.506,32:30,0.46,0.733,0.277,19.5,9.719,3.094,1.026,0.797,0.344,73,1.141,2.359,7.359,3.016,2.781,15.719,7.234,5.5,4.031,3.609,1.0,12.109,6.234,0.515,36.209
Chris Paul,35.0,OKC,70,31.541,31:32,0.489,0.907,0.365,17.6,4.986,6.743,2.932,1.586,0.157,122,1.743,0.371,4.614,2.3,2.257,12.671,6.2,3.986,3.614,4.343,1.586,8.329,4.614,0.554,36.626
Dennis Schröder,26.0,OKC,65,30.752,30:45,0.469,0.839,0.385,18.908,3.631,4.031,1.578,0.692,0.215,59,0.908,0.292,3.338,2.554,2.246,14.846,6.969,3.631,3.046,5.0,1.923,9.846,5.046,0.512,29.48
Evan Fournier,27.0,ORL,66,31.449,31:26,0.467,0.818,0.399,18.5,2.591,3.167,1.672,1.076,0.227,86,1.303,0.273,2.318,1.894,2.439,14.076,6.576,3.333,2.727,6.576,2.621,7.5,3.955,0.527,28.374
Nikola Vučević,29.0,ORL,62,32.229,32:13,0.477,0.784,0.339,19.597,10.855,3.581,2.523,0.871,0.758,101,1.629,2.258,8.597,1.419,2.177,16.661,7.952,2.694,2.113,4.661,1.581,12.0,6.371,0.531,41.461
Ja Morant,20.0,MEM,67,30.96,30:57,0.477,0.776,0.335,17.806,3.866,7.284,2.218,0.866,0.269,76,1.134,0.761,3.104,3.284,1.642,13.985,6.672,4.597,3.567,2.672,0.896,11.313,5.776,0.511,33.49
