Points,Player,Team,Opponent,Date,Score,MP,FGM,FGA,3PM,3PA,FTM,FTA 
61,Wilt Chamberlain*,San Francisco Warriors,Syracuse Nationals,12/11/62,136-124,NA,27,57,NA,NA,7,11
61,Wilt Chamberlain*,San Francisco Warriors,St. Louis Hawks,12/18/62,130-110,NA,26,53,NA,NA,9,14
61,Michael Jordan*,Chicago Bulls,Detroit Pistons,03/04/87,125-120,43,22,39,0,0,17,18
61,Michael Jordan*,Chicago Bulls,Atlanta Hawks,04/16/87,114-117,41,22,38,0,3,17,21
61,Karl Malone*,Utah Jazz,Milwaukee Bucks,01/27/90,144-96,33,21,26,0,0,19,23
61,Shaquille O'Neal*,Los Angeles Lakers,Los Angeles Clippers,03/06/00,123-103,45,24,35,0,0,13,22
61,Kobe Bryant*,Los Angeles Lakers,New York Knicks,02/02/09,126-117,37,19,31,3,6,20,20
61,LeBron James,Miami Heat,Charlotte Bobcats,03/03/14,124-107,41,22,33,8,10,9,12
61,James Harden,Houston Rockets,New York Knicks,01/23/19,114-110,40,17,38,5,20,22,25
61,James Harden,Houston Rockets,San Antonio Spurs,03/22/19,111-105,37,19,34,9,13,14,17
61,Damian Lillard,Portland Trail Blazers,Golden State Warriors,01/20/20,129-124,45,17,37,11,20,16,16
61,Damian Lillard,Portland Trail Blazers,Dallas Mavericks,08/11/20,134-131,41,17,32,9,17,18,18
61,Jalen Brunson,New York Knicks,San Antonio Spurs,03/29/24,126-130,43,25,47,5,13,6,6
61,Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,04/01/25,139-140,53,18,29,6,11,19,24
60,Wilt Chamberlain*,Philadelphia Warriors,Los Angeles Lakers,12/01/61,138-117,48,22,47,NA,NA,16,26
60,Wilt Chamberlain*,Philadelphia Warriors,Los Angeles Lakers,12/29/61,123-118,48,24,43,NA,NA,12,19
60,Wilt Chamberlain*,Los Angeles Lakers,Cincinnati Royals,01/26/69,126-113,NA,22,36,NA,NA,16,24
