PLAYER_NAME,Emoji,Link
Anthony Edwards,🐜,https://www.youtube.com/watch?v=H7Wz8GnQYPs&ab_channel=ChazNBA
LeBron James,👑,https://www.youtube.com/watch?v=-zd62MxKXp8&ab_channel=NBA
Kobe Bryant,🐍,https://www.youtube.com/watch?v=bs7jxM-2WGA&ab_channel=DingProductions
Kristaps Porziņģis,🦄,https://www.youtube.com/watch?v=MrmqCqbIKPA&ab_channel=TheSportMemes
Nikola Jokić,🐎,https://www.youtube.com/watch?v=upZaIh4ycNw&ab_channel=NBAonTNT
Luka Dončić,🪄,https://www.youtube.com/watch?v=JE23ajVX930&ab_channel=RingerNBA
Jason Collins,🌈,https://en.wikipedia.org/wiki/Jason_Collins
Michael Jordan,🐐,https://www.basketball-reference.com/players/j/jordami01.html
Donovan Mitchell,🕷️,https://www.youtube.com/watch?v=al3x5ISASfQ&ab_channel=NBA
Victor Wembanyama,👾,https://www.youtube.com/watch?v=JkfHHy59suY&ab_channel=CoshReport
Kawhi Leonard,🖐🏿,https://www.youtube.com/watch?v=75iExVNvrWw&ab_channel=NBA
Giannis Antetokounmpo,➕,https://www.youtube.com/watch?v=ePlcXPEQw1M&ab_channel=CoshReport
Stephen Curry,🧑🏽‍🍳,https://www.youtube.com/watch?v=VtppRb5T7VQ&ab_channel=TheYoungManandTheThree
Trae Young,🧊,https://www.basketball-reference.com/players/y/youngtr01.html
Karl-Anthony Towns,🐱,https://www.basketball-reference.com/players/t/townska01.html
Damian Lillard,⌚,https://www.youtube.com/watch?v=ESQSecp036I&ab_channel=PortlandTrailBlazers
Rudy Gobert,🇫🇷,https://www.youtube.com/watch?v=xfmYZDYtu0k&ab_channel=GuardianSport
Nicolas Batum,🇫🇷,https://www.basketball-reference.com/players/b/batumni01.html
Pau Gasol,🇪🇸,https://www.basketball-reference.com/players/g/gasolpa01.html
Marc Gasol,🇪🇸,https://www.basketball-reference.com/players/g/gasolma01.html
Javale McGee,🏆,https://open.spotify.com/artist/0h6zouJC68JIApKZjJrdD2?si=7BCQLuQUSlCdH5A5wH6YyQ
Russell Westbrook,🐂,https://youtu.be/8oXbCUdVU9Y?t=14
Derrick Rose,🌹,https://www.youtube.com/watch?v=6BgJKC1vAV4&t=1s&ab_channel=NBA
Mo Williams,⭐,https://www.youtube.com/watch?v=K_9gGorAfqI&ab_channel=NBAHighlights
Jameer Nelson,⭐,https://www.basketball-reference.com/players/n/nelsoja01.html
Jarrett Allen,⭐,https://www.youtube.com/watch?v=vW0kAWFP-NU&ab_channel=HoopsHaven
Jamal Murray,🇨🇦,https://www.youtube.com/watch?v=euaW1HWRHIM&ab_channel=EvinGualberto
Andrew Wiggins,⭐,https://www.youtube.com/watch?v=HN2PKqVm4PE&ab_channel=GoldenStateWarriors
Zach Edey,🇨🇦,https://www.basketball-reference.com/players/e/edeyza01.html
Dillon Brooks,🇨🇦,https://www.basketball-reference.com/players/b/brookdi01.html
Kevin Garnett,🎟️,https://www.basketball-reference.com/players/g/garneke01.html
Karl Malone,📬,https://www.basketball-reference.com/players/m/malonka01.html
Bruce Bowen,🔒,https://www.basketball-reference.com/players/b/bowenbr01.html
Draymond Green,🔒,https://www.basketball-reference.com/players/g/greendr01.html
Danny Green,🔒,https://www.basketball-reference.com/players/g/greenda02.html
Dwight Howard,🔒,https://www.basketball-reference.com/players/h/howardw01.html
Andre Miller,🏫,https://www.youtube.com/watch?v=iJeUBCeAv1E&ab_channel=BasketballFail
Shaun Livingston,🏫,https://www.youtube.com/watch?v=iJeUBCeAv1E&ab_channel=BasketballFail
Jamal Crawford,🗑️,https://youtu.be/wHLQq4KDkzo?t=70
Lou Williams,♸,https://fadeawayworld.net/lou-williams-response-about-his-two-wives-becomes-viral-i-sure-did-but-it-wasnt-these-two
Dirk Nowitzki,🇩🇪,https://www.youtube.com/watch?v=BfixJPEky1I&ab_channel=NBA
Ray Allen,🌟,https://www.youtube.com/watch?v=k9OsNlUtAF8&ab_channel=TheYoungManandTheThree
Tim Duncan,🌟,https://www.youtube.com/watch?v=rYMpOrXQnac&ab_channel=EvinGualberto
Manu Ginóbili,🏅,https://www.youtube.com/watch?v=AJUhzQEPCvE&ab_channel=NBA
Luis Scola,🏅,https://www.basketball-reference.com/players/s/scolalu01.html
Joe Ingles,🇦🇺,https://www.basketball-reference.com/players/i/inglejo01.html
Patty Mills,🇦🇺,https://www.basketball-reference.com/players/m/millspa02.html
Paul Millsap,⭐,https://www.youtube.com/watch?v=SkgQ78B5OAc&ab_channel=EvinGualberto
Gerald Wallace,⭐,https://www.basketball-reference.com/players/w/wallage01.html
Chris Paul,⚂,https://www.basketball-reference.com/players/p/paulch01.html
Jeff Teague,⭐,https://www.youtube.com/watch?v=wHLQq4KDkzo&ab_channel=BallerHighlights
Rasheed Wallace,🏆,https://www.basketball-reference.com/players/w/wallara01.html
Kevin Durant,💸,https://www.youtube.com/watch?v=MN5YnVlDnIQ&ab_channel=ESPN
Kyrie Irving,🇦🇺,https://www.youtube.com/watch?v=axxDaV2d0LM&ab_channel=TheNBAFreak
James Harden,🪣,https://www.youtube.com/watch?v=rHG4uHOY5SM&ab_channel=MaxaMillion711
Marcin Gortat,🇵🇱,https://www.youtube.com/watch?v=nxfUu9J4Wo4&ab_channel=DBCreates
Deni Avdija,🇮🇱,https://www.basketball-reference.com/players/a/avdijde01.html
Thaddeus Young,⬅️,https://www.basketball-reference.com/players/y/youngth01.html
Klay Thompson,🔥,https://www.youtube.com/watch?v=fXWTMFJlk_s&ab_channel=NBA
Jose Alvarado,🇵🇷,https://www.youtube.com/watch?v=zI8MA5L4pCI&ab_channel=NewOrleansPelicans
Ricky Rubio,🇪🇸,https://www.basketball-reference.com/players/r/rubiori01.html
Terrence Ross,🔥,https://www.youtube.com/watch?v=odd0dk99rws&ab_channel=H.M.J.A.206oT
Tracy McGrady,🔥,https://www.youtube.com/watch?v=M-8FksMVAdU&ab_channel=footse
Yao Ming,🇨🇳,https://www.basketball-reference.com/players/m/mingya01.html
Jordan Clarkson,🇵🇭,https://www.youtube.com/watch?v=ax3E1OAVXTc&ab_channel=NBAHighlightsandShows
Franz Wagner,🇩🇪,https://www.basketball-reference.com/players/w/wagnefr01.html
Dennis Schröder,🇩🇪,https://www.basketball-reference.com/players/s/schrode01.html
Maxi Kleber,🇩🇪,https://www.basketball-reference.com/players/k/klebima01.html
Moritz Wagner,🇩🇪,https://www.basketball-reference.com/players/w/wagnemo01.html
Patrick Beverley,🌍,https://www.youtube.com/watch?v=2qeGb7wr-JA&ab_channel=Bsports
Malik Beasley,🔥,https://www.youtube.com/watch?v=OujNVgTFuYc&ab_channel=DelayofGameHoops
Kevin Love,➕,https://www.youtube.com/watch?v=bCC-2AdkDJA&ab_channel=NBA
Carmelo Anthony,🏅,https://youtu.be/DEJaq7qgTYE?t=128
Jeremy Lin,🇹🇼,https://www.youtube.com/watch?v=N3VpaRX0uus&ab_channel=TDSHighlights
Rajon Rondo,💍,https://www.youtube.com/watch?v=ePlBMqxinxA&ab_channel=NBA
Paul Pierce,🌟,https://www.basketball-reference.com/players/p/piercpa01.html
Chauncey Billups,💉,https://www.youtube.com/watch?v=o77bLapbsS4&ab_channel=MatisseThybulle
Kyle Korver,⭐,https://youtu.be/zWqoRB61vNQ?t=32
Nick Young,🏆,https://www.youtube.com/shorts/w5zt5V41SMc
Andre Iguodala,⭐,https://www.youtube.com/shorts/VXEAtGg0ddc
Paul George,➕,https://www.youtube.com/watch?v=pwHjyWmk7Bs&ab_channel=MaxaMillion711
DeAndre Jordan,⭐,https://www.youtube.com/watch?v=QE1shG79WCU&list=PLfpqj02tQor9-RptsF7eB0K6B0PA33JZg&index=2&ab_channel=PodcastPwithPaulGeorge
Lauri Markkanen,➕,https://www.youtube.com/watch?v=0FxxXTIMVhc&ab_channel=MaxaMillion711
Jimmy Butler,➕,https://youtu.be/ju5XSQnR2yg?t=32
Danny Granger,➕,https://www.basketball-reference.com/players/g/grangda01.html
Theo Pinson,🎙️,https://www.youtube.com/@RunYourRaceTL/videos
Robert Covington,🔒,https://www.youtube.com/watch?v=IvwVEQrtMcY&ab_channel=Whistle
Matisse Thybulle,🔒,https://www.youtube.com/watch?v=_DzaVY5tPZg&list=PLMICLletO8dDwQaGpipv8Z9t_UVIG3Pn9&ab_channel=MatisseThybulle
Herb Jones,🔒,https://www.basketball-reference.com/players/j/joneshe01.html
Andray Blatche,🇵🇭,https://www.youtube.com/watch?v=lDzRvZcFn48&ab_channel=BasketballFail
Ricky Davis,🗑️,https://www.youtube.com/watch?v=XDtGHHnA9ms&ab_channel=JazzBasketball1
